srcIP	dstIP	label	attack	transcription
192.168.10.8	74.125.29.155	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	2722786
172.16.0.1	192.168.10.50	1	DDoS:LOIT	4384695
192.168.10.8	169.45.91.188	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	2121
192.168.10.8	129.146.13.100	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6633
192.168.10.8	23.194.140.241	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	336136
192.168.10.8	192.243.250.36	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1837805
192.168.10.8	54.175.106.66	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	376933
192.168.10.8	52.21.92.98	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6124
192.168.10.8	173.194.68.154	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6551
192.168.10.8	23.208.100.174	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11766
192.168.10.8	54.210.85.226	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6149
192.168.10.8	52.94.232.33	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1857800
192.168.10.8	104.25.231.115	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	16281
192.168.10.8	208.185.50.90	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1304582
192.168.10.8	169.55.70.195	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1520
192.168.10.8	52.5.56.97	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	2427
192.168.10.8	107.178.254.65	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1277801
192.168.10.8	54.148.10.141	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6129
192.168.10.8	153.149.97.37	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	313
192.168.10.8	104.19.196.102	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1662042
192.168.10.8	54.192.37.202	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	599
192.168.10.8	63.251.210.243	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1513
192.168.10.8	204.2.197.202	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	362387
192.168.10.8	104.244.43.112	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	1036
192.168.10.8	54.192.36.252	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	583903
192.168.10.8	54.192.37.28	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	12086
192.168.10.8	72.249.192.50	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11578
192.168.10.8	104.19.193.102	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	18258
192.168.10.8	152.163.50.3	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11843
192.168.10.8	23.194.111.147	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	552
192.168.10.8	216.58.218.228	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	341550
192.168.10.8	104.88.96.174	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11664
192.168.10.8	23.23.139.95	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6030
192.168.10.8	23.23.220.195	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6023
192.168.10.8	54.192.48.142	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11690
192.168.10.8	54.192.48.106	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	521138
192.168.10.8	54.192.48.54	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	516
192.168.10.8	151.101.20.239	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	12971
192.168.10.8	54.230.37.93	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11671
192.168.10.8	54.86.213.164	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	292559
192.168.10.8	34.226.151.189	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	2147
192.168.10.8	34.225.92.86	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	6153
192.168.10.8	23.23.150.254	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	7477
192.168.10.8	54.221.218.59	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	16709
192.168.10.8	23.21.200.21	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	3204
192.168.10.8	173.194.207.108	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	239
192.168.10.8	54.230.51.246	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11632
192.168.10.8	54.230.51.73	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	11558
192.168.10.8	54.230.51.238	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	113018
192.168.10.8	54.192.48.96	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	797
192.168.10.8	54.230.49.198	1	Infiltration:Dropbox download - (Portscan + Nmap) from victim	616
